spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,0.0326,0.1337,0.0087,-0.0059,0.0255
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,0.0804,0.3140,0.0205,-0.0138,0.0599
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,0.0768,0.3012,0.0196,-0.0132,0.0575
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,0.7654,0.9039,0.0589,-0.0396,0.1725
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,0.0833,0.3246,0.0211,-0.0142,0.0619
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,0.7256,0.9719,0.0633,-0.0426,0.1855
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,0.2957,0.9021,0.0588,-0.0396,0.1721
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,0.3397,0.9768,0.0636,-0.0428,0.1864
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,0.3801,1.0318,0.0672,-0.0452,0.1969
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,0.8006,0.8334,0.0543,-0.0365,0.1590
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,0.8330,0.7597,0.0495,-0.0333,0.1450
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,0.0243,0.1005,0.0065,-0.0044,0.0192
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,0.3332,0.9667,0.0630,-0.0424,0.1845
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,0.0307,0.1262,0.0082,-0.0055,0.0241
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,0.8359,0.7527,0.0490,-0.0330,0.1436
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,0.6200,1.0911,0.0711,-0.0478,0.2082
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,0.1430,0.5231,0.0341,-0.0229,0.0998
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,0.0787,0.3080,0.0201,-0.0135,0.0588
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,0.8134,0.8052,0.0524,-0.0353,0.1537
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,0.1420,0.5200,0.0339,-0.0228,0.0992
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,0.3195,0.9443,0.0615,-0.0414,0.1802
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,0.5707,1.1163,0.0727,-0.0490,0.2130
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,0.0174,0.0723,0.0047,-0.0032,0.0138
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,0.1259,0.4692,0.0306,-0.0206,0.0895
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,0.1154,0.4349,0.0283,-0.0191,0.0830
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,0.0870,0.3378,0.0220,-0.0148,0.0645
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,0.3946,1.0484,0.0683,-0.0460,0.2001
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,0.8066,0.8204,0.0534,-0.0360,0.1565
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,0.2911,0.8933,0.0582,-0.0392,0.1705
