spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,0.1767,0.5560,0.0184,-0.0111,0.0456
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,0.0221,0.0778,0.0019,-0.0012,0.0046
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,0.1261,0.4445,0.0122,-0.0077,0.0314
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,0.0680,0.2591,0.0065,-0.0041,0.0154
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,0.1279,0.4455,0.0126,-0.0081,0.0317
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,0.0595,0.2282,0.0054,-0.0037,0.0134
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,0.1453,0.4988,0.0139,-0.0088,0.0357
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,1.0178,1.0870,0.1039,-0.0635,0.2655
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,0.0291,0.1080,0.0024,-0.0017,0.0062
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,0.2590,0.7186,0.0270,-0.0163,0.0615
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,0.0981,0.3609,0.0093,-0.0060,0.0227
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,0.0339,0.1274,0.0032,-0.0020,0.0075
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,0.3017,0.7859,0.0289,-0.0193,0.0744
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,0.0400,0.1524,0.0038,-0.0024,0.0086
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,0.0973,0.3570,0.0094,-0.0060,0.0231
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,0.0941,0.3470,0.0087,-0.0059,0.0228
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,0.7296,1.0614,0.0732,-0.0448,0.1862
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,0.1042,0.3756,0.0106,-0.0065,0.0272
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,0.6832,1.0707,0.0666,-0.0417,0.1687
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,0.3143,0.7799,0.0336,-0.0200,0.0795
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,0.3465,0.8384,0.0335,-0.0208,0.0920
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,0.3791,0.8609,0.0400,-0.0235,0.0955
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,0.7722,1.0320,0.0755,-0.0494,0.2107
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,0.8163,1.0656,0.0809,-0.0507,0.2177
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,0.0326,0.1226,0.0029,-0.0020,0.0069
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,0.3452,0.8154,0.0367,-0.0221,0.0859
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,0.0392,0.1493,0.0035,-0.0024,0.0094
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,0.8202,1.0325,0.0847,-0.0518,0.2046
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,0.5821,0.9977,0.0575,-0.0371,0.1448
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,0.1653,0.5409,0.0171,-0.0100,0.0390
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,0.0965,0.3528,0.0098,-0.0059,0.0242
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,0.7863,1.0481,0.0815,-0.0501,0.1912
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,0.1544,0.5207,0.0146,-0.0097,0.0365
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,0.3152,0.8158,0.0319,-0.0189,0.0771
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,0.5422,0.9497,0.0581,-0.0335,0.1482
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,0.0233,0.0831,0.0019,-0.0013,0.0050
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,0.1435,0.4895,0.0139,-0.0088,0.0373
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,0.1251,0.4432,0.0123,-0.0076,0.0292
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,0.0940,0.3495,0.0088,-0.0056,0.0224
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,0.3885,0.8879,0.0386,-0.0230,0.0982
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,0.7810,1.0252,0.0800,-0.0502,0.1878
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,0.3097,0.7865,0.0304,-0.0189,0.0824
