spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho,gamma
0.9324,1.2402,0.0528,0.5207,GEOMETRIC,0.1083,0.0811,0.4657,0.0865,-0.0361,0.1845,2.2197
1.4469,0.9881,0.0594,0.1919,ARITHMETIC,0.4649,0.4688,0.9681,0.0894,-0.0373,0.1973,-0.2124
0.5255,0.9587,0.1296,0.2390,ARITHMETIC,0.0000,0.0055,0.0336,0.0049,-0.0020,0.0106,0.2154
1.3682,0.5417,0.1711,0.5094,ARITHMETIC,0.4121,0.4313,0.8435,0.0892,-0.0372,0.1952,-0.3951
0.5927,0.7641,0.0427,0.1857,GEOMETRIC,0.0000,0.0058,0.0343,0.0045,-0.0019,0.0098,0.2153
1.8323,1.3279,0.0691,0.4955,GEOMETRIC,0.8207,0.8337,0.9744,0.0042,-0.0018,0.0219,-0.5600
0.5953,0.7083,0.1365,0.4739,GEOMETRIC,0.0028,0.0090,0.0569,0.0093,-0.0039,0.0200,0.3726
1.4704,0.8128,0.0652,0.4627,ARITHMETIC,0.5041,0.5065,0.8851,0.0630,-0.0263,0.1417,0.1505
1.0269,0.9068,0.1846,0.5377,ARITHMETIC,0.1791,0.1647,0.7617,0.1407,-0.0587,0.3001,1.7747
0.9482,1.3415,0.1269,0.5419,GEOMETRIC,0.1367,0.1115,0.5947,0.1132,-0.0472,0.2412,2.2403
1.8292,0.8154,0.0165,0.5359,GEOMETRIC,0.8162,0.8285,0.9870,0.0067,-0.0028,0.0271,-0.5950
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,0.0084,0.0530,0.0086,-0.0036,0.0184,0.3468
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,0.5619,1.0522,0.0666,-0.0278,0.1514,0.0035
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,0.6245,0.9832,0.0354,-0.0148,0.0861,0.4369
1.4357,1.1824,0.0314,0.3432,GEOMETRIC,0.4449,0.4579,0.8818,0.0827,-0.0345,0.1823,-0.2149
1.1279,1.3947,0.0410,0.1119,GEOMETRIC,0.1525,0.1606,0.7722,0.1337,-0.0558,0.2858,2.2099
1.7538,0.8881,0.1014,0.5369,ARITHMETIC,0.7897,0.7774,0.9927,0.0077,-0.0032,0.0293,-0.0715
1.9607,0.5364,0.0193,0.0965,GEOMETRIC,0.9604,0.9484,0.8653,0.0061,-0.0025,0.0242,-1.6447
1.4372,0.9521,0.0880,0.4471,GEOMETRIC,0.4589,0.4695,0.8327,0.0714,-0.0298,0.1583,-0.0682
0.6264,0.7547,0.1705,0.5110,GEOMETRIC,0.0079,0.0126,0.0808,0.0140,-0.0059,0.0300,0.5304
0.9410,0.6022,0.1618,0.3372,GEOMETRIC,0.0513,0.0677,0.3983,0.0714,-0.0298,0.1525,2.0778
1.7858,1.0670,0.1415,0.1638,GEOMETRIC,0.7939,0.7869,1.0013,0.0091,-0.0038,0.0323,-0.2285
1.9769,1.0720,0.1031,0.1593,GEOMETRIC,0.9728,0.9649,0.8243,0.0027,-0.0011,0.0167,-1.6234
0.6843,1.0888,0.0224,0.1794,ARITHMETIC,0.0000,0.0117,0.0713,0.0105,-0.0044,0.0227,0.4535
1.2162,1.1616,0.0041,0.3661,GEOMETRIC,0.2440,0.2483,0.9316,0.1534,-0.0640,0.3286,0.7898
1.8965,0.6623,0.1102,0.3312,GEOMETRIC,0.8928,0.8941,0.9338,0.0046,-0.0019,0.0221,-1.1757
1.9532,0.8203,0.0057,0.4727,ARITHMETIC,0.9719,0.9620,0.8305,0.0030,-0.0012,0.0173,-1.6167
0.5770,1.3739,0.1173,0.2909,ARITHMETIC,0.0018,0.0092,0.0579,0.0095,-0.0040,0.0204,0.3794
1.6068,1.1889,0.0815,0.3295,GEOMETRIC,0.6156,0.6137,0.9119,0.0269,-0.0112,0.0678,0.7538
1.2737,1.0413,0.1821,0.4114,ARITHMETIC,0.3564,0.3655,0.8461,0.1169,-0.0488,0.2523,-0.7361
1.0334,0.9211,0.0296,0.3335,GEOMETRIC,0.0999,0.0982,0.5437,0.0955,-0.0398,0.2041,2.4222
0.7623,0.9832,0.1059,0.2293,GEOMETRIC,0.0039,0.0210,0.1313,0.0220,-0.0092,0.0471,0.8340
1.3358,1.3495,0.1627,0.3316,ARITHMETIC,0.4113,0.4173,0.8005,0.0901,-0.0376,0.1964,-0.5068
1.2498,1.0687,0.1503,0.3195,ARITHMETIC,0.3169,0.3254,0.9149,0.1376,-0.0574,0.2958,-0.4368
0.8034,0.8572,0.0349,0.4409,GEOMETRIC,0.0281,0.0274,0.1706,0.0291,-0.0122,0.0623,1.0628
0.6682,0.8266,0.1424,0.1234,GEOMETRIC,0.0000,0.0107,0.0657,0.0101,-0.0042,0.0216,0.4224
0.7850,0.8910,0.0638,0.1393,GEOMETRIC,0.0001,0.0194,0.1192,0.0187,-0.0078,0.0401,0.7526
1.5127,0.9790,0.0918,0.2951,ARITHMETIC,0.5392,0.5422,0.9083,0.0521,-0.0217,0.1196,0.3524
0.8956,0.9425,0.1190,0.4368,GEOMETRIC,0.0667,0.0607,0.3635,0.0666,-0.0278,0.1421,1.9521
1.9963,1.2674,0.1353,0.2715,GEOMETRIC,0.9819,0.9815,0.7885,0.0016,-0.0007,0.0139,-1.6646
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,0.1174,0.6257,0.1061,-0.0442,0.2269,2.5552
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,0.0048,0.0288,0.0040,-0.0017,0.0087,0.1831
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,0.1076,0.5817,0.1073,-0.0447,0.2288,2.3409
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,0.0403,0.2505,0.0455,-0.0190,0.0972,1.4842
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,0.0869,0.4921,0.0868,-0.0362,0.1854,2.3336
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,0.0318,0.2004,0.0364,-0.0152,0.0776,1.2324
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,0.1500,0.7229,0.1346,-0.0561,0.2869,1.9671
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,0.9893,0.7736,0.0020,-0.0008,0.0145,-1.7089
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,0.0099,0.0633,0.0108,-0.0045,0.0232,0.4176
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,0.2560,0.9458,0.1533,-0.0640,0.3286,0.7358
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,0.0806,0.4640,0.0878,-0.0366,0.1871,2.1940
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,0.0104,0.0649,0.0103,-0.0043,0.0221,0.4206
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,0.3358,0.9040,0.1333,-0.0556,0.2869,-0.5342
0.6690,1.0488,0.1994,0.0880,ARITHMETIC,0.0000,0.0138,0.0866,0.0141,-0.0059,0.0302,0.5590
0.9055,0.9894,0.1642,0.3696,GEOMETRIC,0.0663,0.0680,0.4013,0.0742,-0.0309,0.1582,2.0681
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,0.0663,0.3930,0.0728,-0.0304,0.1553,2.0417
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,0.7248,0.9808,0.0112,-0.0047,0.0363,0.3649
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,0.0512,0.3058,0.0507,-0.0212,0.1086,1.7405
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,0.6701,0.9221,0.0120,-0.0050,0.0372,0.8476
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,0.2975,1.0304,0.1514,-0.0632,0.3259,0.5770
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,0.3836,0.8178,0.1065,-0.0444,0.2305,-0.7206
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,0.3953,0.9628,0.1176,-0.0490,0.2552,-0.4377
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,0.7925,1.0076,0.0103,-0.0043,0.0348,-0.3346
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,0.8155,0.9908,0.0069,-0.0029,0.0275,-0.4601
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,0.0102,0.0642,0.0105,-0.0044,0.0226,0.4195
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,0.3431,1.0330,0.1416,-0.0590,0.3056,-0.0071
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,0.0131,0.0819,0.0132,-0.0055,0.0283,0.5284
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,0.8262,0.9886,0.0069,-0.0029,0.0276,-0.5782
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,0.5994,0.9057,0.0307,-0.0128,0.0755,0.7153
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,0.1435,0.7114,0.1287,-0.0537,0.2748,2.1908
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,0.0493,0.2968,0.0504,-0.0210,0.1078,1.6996
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,0.7975,1.0023,0.0091,-0.0038,0.0323,-0.3459
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,0.1604,0.7523,0.1387,-0.0579,0.2959,1.8594
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,0.3576,0.8489,0.1203,-0.0502,0.2593,-0.7441
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,0.5627,1.0136,0.0604,-0.0252,0.1382,0.1246
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,0.0056,0.0346,0.0052,-0.0022,0.0111,0.2233
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,0.1183,0.6250,0.1130,-0.0471,0.2411,2.3777
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,0.1170,0.6170,0.1153,-0.0481,0.2458,2.2752
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,0.0854,0.4860,0.0926,-0.0386,0.1972,2.2178
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,0.4256,0.7539,0.0807,-0.0337,0.1764,-0.4258
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,0.7895,0.9993,0.0086,-0.0036,0.0312,-0.2382
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,0.3312,0.9087,0.1353,-0.0564,0.2909,-0.4955
