spot_strike_ratio & ttm & risk_free_rate & volatility & avg_type & price_strike_ratio & left_ci & right_ci \\
1.9950 & 0.6349 & 0.0902 & 0.2329 & ARITHMETIC & 0.9980 & 0.9523 & 1.0437 \\
1.3627 & 0.9259 & 0.1106 & 0.4303 & ARITHMETIC & 0.4148 & 0.3466 & 0.4829 \\
1.7467 & 0.9434 & 0.0614 & 0.2961 & GEOMETRIC & 0.7465 & 0.6855 & 0.8076 \\
0.5272 & 1.0145 & 0.1478 & 0.4749 & ARITHMETIC & 0.0048 & 0.0000 & 0.0108 \\
0.7688 & 1.3721 & 0.0408 & 0.5423 & ARITHMETIC & 0.0706 & 0.0301 & 0.1111 \\
0.6656 & 1.3472 & 0.1567 & 0.2603 & GEOMETRIC & 0.0037 & 0.0002 & 0.0072 \\
1.5127 & 0.7014 & 0.0114 & 0.3261 & GEOMETRIC & 0.5104 & 0.4594 & 0.5615 \\
1.2159 & 0.5229 & 0.0967 & 0.5080 & ARITHMETIC & 0.2646 & 0.2131 & 0.3161 \\
1.4323 & 1.2656 & 0.0746 & 0.2960 & GEOMETRIC & 0.4531 & 0.3975 & 0.5087 \\
1.9274 & 1.4944 & 0.1821 & 0.4002 & ARITHMETIC & 0.9487 & 0.8350 & 1.0625 \\
1.5325 & 0.5639 & 0.0219 & 0.1136 & GEOMETRIC & 0.5349 & 0.5186 & 0.5511 \\
0.6198 & 1.3542 & 0.1294 & 0.0983 & GEOMETRIC & 0.0000 & 0.0000 & 0.0000 \\
1.9777 & 0.6703 & 0.0995 & 0.1251 & GEOMETRIC & 0.9764 & 0.9519 & 1.0009 \\
0.5672 & 0.6066 & 0.0036 & 0.1764 & GEOMETRIC & 0.0000 & 0.0000 & 0.0000 \\
1.8081 & 1.1643 & 0.1990 & 0.3091 & GEOMETRIC & 0.8086 & 0.7413 & 0.8759 \\
1.2941 & 1.2381 & 0.1859 & 0.2217 & GEOMETRIC & 0.3566 & 0.3214 & 0.3918 \\
1.7128 & 0.7203 & 0.0861 & 0.2316 & GEOMETRIC & 0.7176 & 0.6768 & 0.7584 \\
0.6238 & 1.3087 & 0.0549 & 0.4520 & GEOMETRIC & 0.0116 & 0.0019 & 0.0212 \\
1.5100 & 1.0147 & 0.0930 & 0.0550 & GEOMETRIC & 0.5302 & 0.5203 & 0.5402 \\
1.8980 & 0.8751 & 0.0984 & 0.5135 & ARITHMETIC & 0.9257 & 0.8091 & 1.0423 \\
1.8311 & 0.5525 & 0.0600 & 0.4557 & GEOMETRIC & 0.8239 & 0.7475 & 0.9003 \\
1.4497 & 1.0108 & 0.1621 & 0.1253 & ARITHMETIC & 0.4894 & 0.4679 & 0.5110 \\
0.8826 & 1.2219 & 0.0658 & 0.4102 & GEOMETRIC & 0.0630 & 0.0346 & 0.0915 \\
1.1579 & 0.9749 & 0.1397 & 0.5056 & GEOMETRIC & 0.2434 & 0.1851 & 0.3017 \\
0.7714 & 0.6273 & 0.0683 & 0.4904 & ARITHMETIC & 0.0237 & 0.0081 & 0.0392 \\
1.9697 & 0.9391 & 0.1980 & 0.4924 & ARITHMETIC & 0.9900 & 0.8735 & 1.1064 \\
0.7679 & 0.5840 & 0.0524 & 0.3798 & GEOMETRIC & 0.0075 & 0.0016 & 0.0134 \\
1.2490 & 1.2757 & 0.1139 & 0.5026 & ARITHMETIC & 0.3562 & 0.2722 & 0.4403 \\
0.9002 & 0.8406 & 0.0433 & 0.2241 & ARITHMETIC & 0.0194 & 0.0093 & 0.0296 \\
1.6950 & 0.9312 & 0.1889 & 0.2793 & GEOMETRIC & 0.7083 & 0.6559 & 0.7606 \\
0.8018 & 1.2436 & 0.0177 & 0.2361 & GEOMETRIC & 0.0085 & 0.0022 & 0.0147 \\
0.8251 & 1.0618 & 0.1403 & 0.2746 & ARITHMETIC & 0.0253 & 0.0119 & 0.0387 \\
0.5187 & 0.7159 & 0.0179 & 0.5353 & ARITHMETIC & 0.0014 & 0.0000 & 0.0041 \\
0.9847 & 0.9827 & 0.1049 & 0.3345 & ARITHMETIC & 0.0963 & 0.0663 & 0.1263 \\
0.6366 & 0.5362 & 0.1320 & 0.2728 & GEOMETRIC & 0.0000 & 0.0000 & 0.0000 \\
1.7858 & 1.2541 & 0.0694 & 0.5488 & GEOMETRIC & 0.7769 & 0.6473 & 0.9065 \\
1.3492 & 0.9773 & 0.0387 & 0.3791 & ARITHMETIC & 0.3813 & 0.3197 & 0.4430 \\
1.0998 & 0.5417 & 0.0404 & 0.0570 & ARITHMETIC & 0.1096 & 0.1039 & 0.1153 \\
0.8263 & 1.4107 & 0.1931 & 0.5287 & ARITHMETIC & 0.1105 & 0.0618 & 0.1592 \\
1.7874 & 1.2155 & 0.0534 & 0.3480 & ARITHMETIC & 0.8074 & 0.7206 & 0.8941 \\
1.7217 & 0.9008 & 0.0234 & 0.3440 & GEOMETRIC & 0.7165 & 0.6470 & 0.7860 \\
1.1658 & 0.5262 & 0.1079 & 0.5194 & GEOMETRIC & 0.2140 & 0.1682 & 0.2599 \\
1.7934 & 1.1656 & 0.1680 & 0.1900 & GEOMETRIC & 0.8008 & 0.7591 & 0.8424 \\
1.3309 & 1.1754 & 0.1493 & 0.1103 & ARITHMETIC & 0.3825 & 0.3638 & 0.4012 \\
1.3585 & 0.9424 & 0.0581 & 0.0830 & ARITHMETIC & 0.3757 & 0.3622 & 0.3891 \\
1.9743 & 0.5873 & 0.1924 & 0.2572 & ARITHMETIC & 0.9774 & 0.9303 & 1.0245 \\
0.9027 & 0.9388 & 0.0645 & 0.4679 & ARITHMETIC & 0.0785 & 0.0440 & 0.1130 \\
1.0502 & 1.3630 & 0.1361 & 0.0809 & GEOMETRIC & 0.1264 & 0.1153 & 0.1376 \\
1.5001 & 0.5829 & 0.1507 & 0.1932 & GEOMETRIC & 0.5182 & 0.4918 & 0.5447 \\
0.5572 & 1.3097 & 0.1701 & 0.0973 & ARITHMETIC & 0.0000 & 0.0000 & 0.0000 \\
1.2645 & 1.0788 & 0.0742 & 0.4597 & GEOMETRIC & 0.3125 & 0.2472 & 0.3778 \\
0.7506 & 0.5571 & 0.0163 & 0.4802 & ARITHMETIC & 0.0141 & 0.0034 & 0.0248 \\
0.9982 & 1.3086 & 0.0990 & 0.4638 & ARITHMETIC & 0.1589 & 0.1047 & 0.2132 \\
1.5568 & 0.9774 & 0.0103 & 0.2446 & ARITHMETIC & 0.5636 & 0.5161 & 0.6112 \\
1.6515 & 0.8473 & 0.1983 & 0.3653 & ARITHMETIC & 0.6842 & 0.6170 & 0.7513 \\
1.9083 & 1.3142 & 0.0266 & 0.2823 & ARITHMETIC & 0.9199 & 0.8417 & 0.9981 \\
1.5147 & 1.3391 & 0.1920 & 0.4835 & GEOMETRIC & 0.5510 & 0.4599 & 0.6421 \\
1.9366 & 1.1835 & 0.0174 & 0.3726 & ARITHMETIC & 0.9539 & 0.8525 & 1.0554 \\
0.8015 & 1.2830 & 0.0927 & 0.2255 & GEOMETRIC & 0.0120 & 0.0043 & 0.0196 \\
0.8583 & 0.5908 & 0.0093 & 0.2131 & GEOMETRIC & 0.0039 & 0.0007 & 0.0070 \\
1.8405 & 1.1127 & 0.0847 & 0.2945 & ARITHMETIC & 0.8553 & 0.7846 & 0.9260 \\
0.8558 & 0.9902 & 0.0315 & 0.2859 & ARITHMETIC & 0.0234 & 0.0101 & 0.0366 \\
1.4416 & 0.6824 & 0.0020 & 0.5432 & ARITHMETIC & 0.4709 & 0.3894 & 0.5523 \\
0.5067 & 0.5639 & 0.1936 & 0.2244 & GEOMETRIC & 0.0000 & 0.0000 & 0.0000 \\
1.3558 & 0.9500 & 0.1324 & 0.1891 & GEOMETRIC & 0.3893 & 0.3600 & 0.4186 \\
1.2538 & 1.2326 & 0.0577 & 0.2007 & GEOMETRIC & 0.2787 & 0.2461 & 0.3113 \\
0.6111 & 0.8879 & 0.0386 & 0.4512 & ARITHMETIC & 0.0055 & 0.0000 & 0.0118 \\
0.5742 & 1.2523 & 0.0175 & 0.1455 & ARITHMETIC & 0.0000 & 0.0000 & 0.0000 \\
0.5371 & 0.5833 & 0.1600 & 0.3818 & ARITHMETIC & 0.0000 & 0.0000 & 0.0000 \\
0.8540 & 1.0483 & 0.0344 & 0.2130 & GEOMETRIC & 0.0110 & 0.0040 & 0.0181 \\
1.0408 & 0.7663 & 0.1085 & 0.4210 & ARITHMETIC & 0.1372 & 0.0989 & 0.1754 \\
0.8535 & 0.6192 & 0.1347 & 0.2097 & ARITHMETIC & 0.0076 & 0.0026 & 0.0127 \\
0.6843 & 0.8108 & 0.0626 & 0.4159 & GEOMETRIC & 0.0063 & 0.0006 & 0.0121 \\
0.8612 & 0.9898 & 0.0817 & 0.3653 & GEOMETRIC & 0.0391 & 0.0199 & 0.0584 \\
1.9877 & 1.4738 & 0.0506 & 0.4426 & GEOMETRIC & 0.9660 & 0.8376 & 1.0944 \\
0.6012 & 1.4371 & 0.1938 & 0.0575 & GEOMETRIC & 0.0000 & 0.0000 & 0.0000 \\
